date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:25:23	129550/129550	---MCZ	200	added ('OK')	text/html	etag:W/%223e5e618ca77a31c52961e0d868a9771d%22	https://beta.nextjs.org/docs/installation	C:/My%20Web%20Sites/NextJS-13.2-DOCS/beta.nextjs.org/docs/installation.html	(from https://beta.nextjs.org/docs)
23:25:23	84/84	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2002%20Mar%202023%2018:25:23%20GMT	https://beta.nextjs.org/docs/	C:/My%20Web%20Sites/NextJS-13.2-DOCS/beta.nextjs.org/docs/index.html	(from https://beta.nextjs.org/docs)
23:25:23	422570/422570	---MCZ	200	added ('OK')	text/html	etag:W/%22d42e3717fef3574882e6a77bbc2012b0%22	https://beta.nextjs.org/docs/upgrade-guide	C:/My%20Web%20Sites/NextJS-13.2-DOCS/beta.nextjs.org/docs/upgrade-guide.html	(from https://beta.nextjs.org/docs)
23:25:23	136173/136173	---MCZ	200	added ('OK')	text/html	etag:W/%2232be82cf96cc26af7a4639f388f70cf4%22	https://beta.nextjs.org/docs/app-directory-roadmap	C:/My%20Web%20Sites/NextJS-13.2-DOCS/beta.nextjs.org/docs/app-directory-roadmap.html	(from https://beta.nextjs.org/docs)
23:25:24	148958/148958	---MCZ	200	added ('OK')	text/html	etag:W/%228a92924bbd02df0818445dc606f9137a%22	https://beta.nextjs.org/docs/routing/fundamentals	C:/My%20Web%20Sites/NextJS-13.2-DOCS/beta.nextjs.org/docs/routing/fundamentals.html	(from https://beta.nextjs.org/docs)
23:25:24	167056/167056	---MCZ	200	added ('OK')	text/html	etag:W/%22651a19c0721ebc6912186be1be1064c7%22	https://beta.nextjs.org/docs/routing/defining-routes	C:/My%20Web%20Sites/NextJS-13.2-DOCS/beta.nextjs.org/docs/routing/defining-routes.html	(from https://beta.nextjs.org/docs)
23:25:24	168877/168877	---MCZ	200	added ('OK')	text/html	etag:W/%22637f6ce52528b4a9467568bbff5b2504%22	https://beta.nextjs.org/docs/routing/pages-and-layouts	C:/My%20Web%20Sites/NextJS-13.2-DOCS/beta.nextjs.org/docs/routing/pages-and-layouts.html	(from https://beta.nextjs.org/docs)
23:25:24	167727/167727	---MCZ	200	added ('OK')	text/html	etag:W/%22585e1bac43ba7ce5831d3bf80f64fe80%22	https://beta.nextjs.org/docs/routing/linking-and-navigating	C:/My%20Web%20Sites/NextJS-13.2-DOCS/beta.nextjs.org/docs/routing/linking-and-navigating.html	(from https://beta.nextjs.org/docs)
23:25:25	112930/112930	---MCZ	200	added ('OK')	text/html	etag:W/%22b1410b4f03df0e300cfc07a5a9131131%22	https://beta.nextjs.org/docs/routing/loading-ui	C:/My%20Web%20Sites/NextJS-13.2-DOCS/beta.nextjs.org/docs/routing/loading-ui.html	(from https://beta.nextjs.org/docs)
23:25:25	157447/157447	---MCZ	200	added ('OK')	text/html	etag:W/%22b2220b7d12038a6a819720fa2348dd53%22	https://beta.nextjs.org/docs/routing/error-handling	C:/My%20Web%20Sites/NextJS-13.2-DOCS/beta.nextjs.org/docs/routing/error-handling.html	(from https://beta.nextjs.org/docs)
23:25:25	246483/246483	---MCZ	200	added ('OK')	text/html	etag:W/%220215d04d10d4516a354fd75e6c37e566%22	https://beta.nextjs.org/docs/routing/route-handlers	C:/My%20Web%20Sites/NextJS-13.2-DOCS/beta.nextjs.org/docs/routing/route-handlers.html	(from https://beta.nextjs.org/docs)
